serial_number,part_number,production_time,line,shift,operator_id,machine_id,connector_force_n,contact_resistance_mohm,eol_result,firmware_version,connector_lot,pcba_lot
SN-EPS100001,EPS-2200-A,2025-04-20 06:20:00,Line 1,Day,OP-101,PRESS-4A,54.3,36.0,Pass,3.8.0,CON-771,PCB-A190
SN-EPS100002,EPS-2200-A,2025-04-20 08:43:50,Line 1,Day,OP-101,PRESS-4A,55.1,31.8,Pass,3.8.1,CON-777,PCB-A192
SN-EPS100003,EPS-2200-A,2025-04-20 11:36:41,Line 1,Day,OP-102,PRESS-4A,50.0,38.4,Pass,3.8.1,CON-771,PCB-A192
SN-EPS100004,EPS-2200-A,2025-04-20 14:43:32,Line 1,Evening,OP-103,PRESS-4A,54.7,34.3,Pass,3.8.1,CON-765,PCB-A192
SN-EPS100005,EPS-2200-A,2025-04-20 17:17:23,Line 1,Day,OP-101,PRESS-4A,53.4,41.5,Pass,3.8.1,CON-765,PCB-A192
SN-EPS100006,EPS-2200-A,2025-04-20 19:53:13,Line 1,Day,OP-102,PRESS-4A,58.3,20.6,Pass,3.8.0,CON-768,PCB-A191
SN-EPS100007,EPS-2200-A,2025-04-20 22:41:04,Line 2,Evening,OP-203,PRESS-4B,53.0,34.3,Pass,3.8.1,CON-771,PCB-A192
SN-EPS100008,EPS-2200-A,2025-04-21 01:57:55,Line 1,Evening,OP-104,PRESS-4A,57.8,26.6,Pass,3.8.1,CON-768,PCB-A192
SN-EPS100009,EPS-2200-B,2025-04-21 04:26:46,Line 2,Day,OP-202,PRESS-4B,52.2,37.5,Pass,3.8.0,CON-765,PCB-A191
SN-EPS100010,EPS-2200-A,2025-04-21 07:37:36,Line 2,Day,OP-202,PRESS-4B,57.9,34.1,Pass,3.8.1,CON-765,PCB-A192
SN-EPS100011,EPS-2200-B,2025-04-21 10:14:27,Line 1,Day,OP-101,PRESS-4A,53.5,40.9,Pass,3.8.1,CON-771,PCB-A191
SN-EPS100012,EPS-2200-A,2025-04-21 13:21:18,Line 1,Evening,OP-103,PRESS-4A,61.7,27.2,Pass,3.8.1,CON-774,PCB-A192
SN-EPS100013,EPS-2200-B,2025-04-21 15:43:09,Line 2,Day,OP-201,PRESS-4B,54.3,49.0,Pass,3.8.0,CON-777,PCB-A193
SN-EPS100014,EPS-2200-B,2025-04-21 18:41:00,Line 1,Evening,OP-104,PRESS-4A,56.8,35.0,Pass,3.8.1,CON-774,PCB-A193
