serial_number,part_number,ship_date,destination,vin,status
SN-EPS100031,EPS-2200-B,2025-04-25,Northbridge Assembly Plant - Riverbend,1NB700001EPS2025,Delivered
SN-EPS100182,EPS-2200-A,2025-05-14,Northbridge Assembly Plant - Riverbend,1NB700002EPS2025,Delivered
SN-EPS100224,EPS-2200-A,2025-05-21,Northbridge Assembly Plant - Riverbend,1NB700003EPS2025,In-Transit
SN-EPS100186,EPS-2200-A,2025-05-14,Northbridge Assembly Plant - Riverbend,1NB700004EPS2025,Delivered
SN-EPS100212,EPS-2200-A,2025-05-19,Northbridge Assembly Plant - Riverbend,1NB700005EPS2025,In-Transit
SN-EPS100259,EPS-2200-A,2025-05-21,Northbridge Assembly Plant - Riverbend,1NB700006EPS2025,In-Transit
SN-EPS100174,EPS-2200-B,2025-05-13,Third-Party Warehouse - Midwest DC,1NB700007EPS2025,Delivered
SN-EPS100143,EPS-2200-A,2025-05-11,Northbridge Assembly Plant - Riverbend,1NB700008EPS2025,Delivered
SN-EPS100010,EPS-2200-A,2025-04-24,Northbridge Assembly Plant - Riverbend,1NB700009EPS2025,Delivered
SN-EPS100178,EPS-2200-A,2025-05-13,Third-Party Warehouse - Midwest DC,1NB700010EPS2025,Delivered
SN-EPS100025,EPS-2200-B,2025-04-27,Northbridge Assembly Plant - Danforth,1NB700011EPS2025,Delivered
SN-EPS100214,EPS-2200-A,2025-05-18,Northbridge Assembly Plant - Riverbend,1NB700012EPS2025,In-Transit
SN-EPS100078,EPS-2200-B,2025-05-01,Northbridge Assembly Plant - Riverbend,1NB700013EPS2025,Delivered
SN-EPS100205,EPS-2200-B,2025-05-18,Third-Party Warehouse - Midwest DC,1NB700014EPS2025,In-Transit
SN-EPS100191,EPS-2200-A,2025-05-17,Northbridge Assembly Plant - Danforth,1NB700015EPS2025,Delivered
SN-EPS100207,EPS-2200-B,2025-05-16,Northbridge Assembly Plant - Riverbend,1NB700016EPS2025,Delivered
SN-EPS100243,EPS-2200-A,2025-05-19,Third-Party Warehouse - Midwest DC,1NB700017EPS2025,In-Transit
SN-EPS100007,EPS-2200-A,2025-04-22,Northbridge Assembly Plant - Riverbend,1NB700018EPS2025,Delivered
SN-EPS100221,EPS-2200-A,2025-05-17,Third-Party Warehouse - Midwest DC,1NB700019EPS2025,Delivered
SN-EPS100105,EPS-2200-B,2025-05-04,Northbridge Assembly Plant - Riverbend,1NB700020EPS2025,Delivered
SN-EPS100115,EPS-2200-A,2025-05-07,Northbridge Assembly Plant - Riverbend,1NB700021EPS2025,Delivered
SN-EPS100120,EPS-2200-A,2025-05-05,Northbridge Assembly Plant - Danforth,1NB700022EPS2025,Delivered
SN-EPS100020,EPS-2200-B,2025-04-25,Third-Party Warehouse - Midwest DC,1NB700023EPS2025,Delivered
SN-EPS100202,EPS-2200-A,2025-05-14,Northbridge Assembly Plant - Riverbend,1NB700024EPS2025,Delivered
SN-EPS100180,EPS-2200-A,2025-05-12,Northbridge Assembly Plant - Riverbend,1NB700025EPS2025,Delivered
SN-EPS100047,EPS-2200-A,2025-04-29,Third-Party Warehouse - Midwest DC,1NB700026EPS2025,Delivered
SN-EPS100076,EPS-2200-B,2025-04-30,Third-Party Warehouse - Midwest DC,1NB700027EPS2025,Delivered
SN-EPS100046,EPS-2200-A,2025-04-28,Northbridge Assembly Plant - Riverbend,1NB700028EPS2025,Delivered
SN-EPS100155,EPS-2200-A,2025-05-12,Northbridge Assembly Plant - Riverbend,1NB700029EPS2025,Delivered
SN-EPS100016,EPS-2200-A,2025-04-27,Northbridge Assembly Plant - Riverbend,1NB700030EPS2025,Delivered
SN-EPS100237,EPS-2200-A,2025-05-22,Northbridge Assembly Plant - Riverbend,1NB700031EPS2025,In-Transit
SN-EPS100229,EPS-2200-A,2025-05-21,Northbridge Assembly Plant - Danforth,1NB700032EPS2025,In-Transit
SN-EPS100145,EPS-2200-B,2025-05-09,Northbridge Assembly Plant - Riverbend,1NB700033EPS2025,Delivered
SN-EPS100034,EPS-2200-A,2025-04-26,Northbridge Assembly Plant - Riverbend,1NB700034EPS2025,Delivered
SN-EPS100197,EPS-2200-A,2025-05-17,Third-Party Warehouse - Midwest DC,1NB700035EPS2025,Delivered
SN-EPS100102,EPS-2200-A,2025-05-03,Northbridge Assembly Plant - Danforth,1NB700036EPS2025,Delivered
SN-EPS100213,EPS-2200-A,2025-05-20,Northbridge Assembly Plant - Riverbend,1NB700037EPS2025,In-Transit
SN-EPS100011,EPS-2200-B,2025-04-24,Northbridge Assembly Plant - Riverbend,1NB700038EPS2025,Delivered
SN-EPS100114,EPS-2200-A,2025-05-08,Northbridge Assembly Plant - Riverbend,1NB700039EPS2025,Delivered
SN-EPS100097,EPS-2200-B,2025-05-02,Northbridge Assembly Plant - Riverbend,1NB700040EPS2025,Delivered
SN-EPS100093,EPS-2200-A,2025-05-03,Northbridge Assembly Plant - Riverbend,1NB700041EPS2025,Delivered
SN-EPS100151,EPS-2200-A,2025-05-12,Northbridge Assembly Plant - Riverbend,1NB700042EPS2025,Delivered
